,lat,long,officialname
0,50.844441271809465,-0.2985307978506628,Adur District Council
1,54.71108952940033,-3.2472347297148736,Allerdale Borough Council
2,53.02923578798895,-1.4666587371164486,Amber Valley Borough Council
3,50.84087482329936,-0.5681884889528159,Arun District Council
4,51.12529509104035,0.8112981989241088,Ashford Borough Council
5,53.09225848020578,-1.2591513420286131,Ashfield District Council
6,52.05062705050395,0.9153154171142276,Babergh District Council
7,53.33277073113091,-0.9589166216011292,Bassetlaw District Council
8,51.59013206565409,0.4662938386691312,Basildon Borough Council
9,51.27345898373285,-1.2009435842572471,Basingstoke and Deane Borough Council
10,54.126557340666345,-3.2122852054861,Barrow-in-Furness Borough Council
11,51.35598528238205,-2.475256294617867,Bath and North East Somerset Council
12,53.69261245008202,-2.4675476946208126,Blackburn with Darwen Borough Council
13,52.18918053057245,-0.4770824350213,Bedford Borough Council
14,51.54397116248155,0.1331640246336178,London Borough of Barking and Dagenham
15,51.55854916343554,-0.2678095362801607,London Borough of Brent
16,51.46088630809562,0.1423430949338968,London Borough of Bexley
17,52.48854726877568,-1.874802373006662,Birmingham City Council
18,52.571507634482245,-1.2219618985461445,Blaby District Council
19,51.616019902950086,-0.2100095486996198,London Borough of Barnet
20,50.84348509595687,-0.1331354533735592,Brighton and Hove City Council
21,53.535870544281714,-1.5325745833475837,Barnsley Metropolitan Borough Council
22,53.57863238912571,-2.4669702024726585,Bolton Metropolitan Borough Council
23,53.215626935522,-1.2773246815469628,Bolsover District Council
24,52.97415774295703,-0.0223468410857168,Boston Borough Council
25,50.74701827327496,-1.8832767544275928,"Bournemouth, Christchurch and Poole Council"
26,53.817662831154095,-3.035526339791786,Blackpool Borough Council
27,51.94182898789511,0.5899319151089268,Braintree District Council
28,51.40811249783455,-0.7397376225054983,Bracknell Forest Council
29,53.844670463422645,-1.8546713066320164,City of Bradford Metropolitan District Council
30,52.58792949857004,0.8372758295704289,Breckland District Council
31,52.36175127188989,-2.0160150230400915,Bromsgrove District Council
32,52.70119535223855,1.310617336242662,Broadland District Council
33,52.976421123234864,-1.262094876957465,Broxtowe Borough Council
34,51.63863512910911,0.3107597898290793,Brentwood Borough Council
35,51.72511088131843,-0.0473752772279139,Broxbourne Borough Council
36,51.37198136539254,0.0515336301011905,London Borough of Bromley
37,51.45274453311869,-2.770838705597792,Bristol City Council
38,51.78496412170722,-0.8115708416412193,Buckinghamshire Council
39,53.77893551349885,-2.221945291812633,Burnley Borough Council
40,53.58783918019242,-2.3125533829090674,Bury Metropolitan Borough Council
41,52.1993686500059,0.1329234089619653,Cambridge City Council
42,52.33042455105452,0.0698969059309227,Cambridgeshire County Council
43,52.71238260917647,-1.980231864126481,Cannock Chase District Council
44,54.97090807108776,-2.80943938058399,Carlisle City Council
45,51.53640846878514,0.5945937763712772,Castle Point Borough Council
46,51.283226972262185,1.1018038741371656,Canterbury City Council
47,54.69862280385885,-3.14326575232159,Cumberland Council
48,52.00662956306432,-0.4362919550907491,Central Bedfordshire Council
49,52.73700682350879,-1.1461358454775714,Charnwood Borough Council
50,53.18027089095206,-2.3499425324278875,Cheshire East Council
51,50.93742239927705,-0.7422637516761059,Chichester District Council
52,51.72542787780269,0.4809159572751528,Chelmsford City Council
53,53.661483218279066,-2.6478813276134514,Chorley Borough Council
54,51.95878327831902,-1.2755951739539153,Cherwell District Council
55,53.25628073222804,-1.401230942639715,Chesterfield Borough Council
56,51.896999473016216,-2.074022323887118,Cheltenham Borough Council
57,53.2001564783003,-2.7358562336423207,Cheshire West and Chester Council
58,53.72117992991813,-1.973412633228741,Calderdale Metropolitan Borough Council
59,54.52162675715457,-3.01965259637251,Cumbria County Council
60,51.54638879998844,-0.1574137310555219,London Borough of Camden
61,51.8725217524317,0.8609023195144947,Colchester Borough Council
62,50.405621088625495,-4.8272121847503335,Cornwall Council
63,54.41387081108845,-3.373123146665906,Copeland Borough Council
64,51.81645164925951,-1.8929521615729048,Cotswold District Council
65,52.41686840256354,-1.5197503069602478,Coventry City Council
66,54.07982705502182,-2.174251040107192,Craven District Council
67,51.12547062504087,-0.1820346228346824,Crawley Borough Council
68,51.35532032252435,-0.0871674481177516,London Borough of Croydon
69,51.77818248395021,-0.5408769698948943,Dacorum Borough Council
70,54.54869912943138,-1.5525869915306274,Darlington Borough Council
71,51.43145291071959,0.2531677770353175,Dartford Borough Council
72,53.08723783838844,-1.5643477517812396,Derbyshire County Council
73,53.12815027934681,-1.6936800671335397,Derbyshire Dales District Council
74,52.91254467825421,-1.4683439126887443,Derby City Council
75,51.435878796258194,-3.171283841800086,Devon County Council
76,53.54430209689559,-1.09577019730934,City of Doncaster Council
77,50.490189362808415,-3.74005580438028,Dorset County Council
78,51.21228077260466,1.2892144190524706,Dover District Council
79,50.80636608389956,-2.333555874724508,Dorset Council
80,52.48285066829759,-2.1087361271763,Dudley Metropolitan Borough Council
81,54.695458247678815,-1.8399127280188767,Durham County Council
82,51.52247098761109,-0.3310288976681463,London Borough of Ealing
83,50.77623053873892,0.2662294460774007,Eastbourne Borough Council
84,50.9330194885229,-1.3272006847774496,Eastleigh Borough Council
85,52.34291759952867,0.2947826976457143,East Cambridgeshire District Council
86,50.76442428243673,-3.2242493835224417,East Devon District Council
87,54.61277864588224,-2.621821122539382,Eden District Council
88,51.07455401161102,-0.9551242078714512,East Hampshire District Council
89,51.86505606526352,-0.0082579319757085,East Hertfordshire District Council
90,53.24935027000408,0.0303338884753055,East Lindsey District Council
91,51.35713226266936,-0.3921725066072539,Elmbridge Borough Council
